second,quic,tcp,orbit,pep,iw,loss
7.300000000000001,16377.803599498491,10577.273706605982,leo,1,"10,100,100,10",10^0
7.4,16396.829490977245,10641.988244931985,leo,1,"10,100,100,10",10^0
7.500000000000001,16419.435733494658,10700.411899981691,leo,1,"10,100,100,10",10^0
7.6,16441.056167045554,10740.40816732496,leo,1,"10,100,100,10",10^0
7.700000000000001,16449.358951710983,10803.82859081894,leo,1,"10,100,100,10",10^0
7.800000000000001,16465.72226028163,10856.59817695339,leo,1,"10,100,100,10",10^0
7.9,16480.170695504006,10913.020378265237,leo,1,"10,100,100,10",10^0
8.0,16495.597792504024,10962.444257963642,leo,1,"10,100,100,10",10^0
8.100000000000001,16520.13815763173,11014.867492700365,leo,1,"10,100,100,10",10^0
8.200000000000001,16533.755424653995,11060.432805101207,leo,1,"10,100,100,10",10^0
8.3,16559.970107659392,11109.281098323572,leo,1,"10,100,100,10",10^0
8.4,16573.788740613083,11159.562715586699,leo,1,"10,100,100,10",10^0
8.5,16599.50577657796,11201.129614668173,leo,1,"10,100,100,10",10^0
8.600000000000001,16611.74344663241,11259.698230043346,leo,1,"10,100,100,10",10^0
8.700000000000001,16625.810230871513,11304.41137849224,leo,1,"10,100,100,10",10^0
8.8,16644.383599966757,11361.404387561684,leo,1,"10,100,100,10",10^0
8.9,16661.00225166969,11403.39739394904,leo,1,"10,100,100,10",10^0
9.0,16683.78041491916,11457.250204837012,leo,1,"10,100,100,10",10^0
9.1,16712.47435451415,11496.961175047625,leo,1,"10,100,100,10",10^0
9.2,16729.5119133935,11542.813450104613,leo,1,"10,100,100,10",10^0
9.3,16761.367208102074,11594.521203914377,leo,1,"10,100,100,10",10^0
9.4,16796.54789597437,11652.94670548805,leo,1,"10,100,100,10",10^0
9.500000000000002,16822.98995146181,11705.511316646744,leo,1,"10,100,100,10",10^0
9.6,16841.92454540454,11749.363462770525,leo,1,"10,100,100,10",10^0
9.7,16863.074073993044,11821.92724323022,leo,1,"10,100,100,10",10^0
9.8,16895.93293717523,11866.492759523691,leo,1,"10,100,100,10",10^0
9.9,16919.396396974993,11925.772175935326,leo,1,"10,100,100,10",10^0
10.000000000000002,16942.908948358276,11978.913747146595,leo,1,"10,100,100,10",10^0
10.1,16968.391306189744,12036.337909913753,leo,1,"10,100,100,10",10^0
10.2,17002.450689547404,12096.478658225244,leo,1,"10,100,100,10",10^0
10.3,17025.042606903975,12136.473210663033,leo,1,"10,100,100,10",10^0
10.4,17050.46733172834,12179.612983409215,leo,1,"10,100,100,10",10^0
10.500000000000002,17074.10553050389,12227.897151176028,leo,1,"10,100,100,10",10^0
10.6,17100.891595041347,12287.461160328467,leo,1,"10,100,100,10",10^0
10.7,17133.097278705383,12330.597156612284,leo,1,"10,100,100,10",10^0
10.8,17172.440384716763,12382.307811381512,leo,1,"10,100,100,10",10^0
10.9,17208.47059911326,12435.16194154388,leo,1,"10,100,100,10",10^0
11.000000000000002,17242.235677169327,12491.726240030806,leo,1,"10,100,100,10",10^0
11.1,17275.301785284548,12530.435337279865,leo,1,"10,100,100,10",10^0
11.2,17294.48774814658,12582.712745763176,leo,1,"10,100,100,10",10^0
11.3,17339.741428185996,12637.423786843608,leo,1,"10,100,100,10",10^0
11.4,17387.815567101585,12686.274807294385,leo,1,"10,100,100,10",10^0
11.500000000000002,17424.08655089765,12734.700935875742,leo,1,"10,100,100,10",10^0
11.6,17473.52398526486,12790.272025524968,leo,1,"10,100,100,10",10^0
11.7,17517.5134830491,12842.26572233091,leo,1,"10,100,100,10",10^0
11.8,17571.068909898404,12886.684864245444,leo,1,"10,100,100,10",10^0
11.9,17622.793940379608,12941.962742692771,leo,1,"10,100,100,10",10^0
12.000000000000002,17685.20404717792,12987.10465753559,leo,1,"10,100,100,10",10^0
12.1,17743.66356455569,13036.671540460367,leo,1,"10,100,100,10",10^0
12.2,17802.802036819136,13090.95345290169,leo,1,"10,100,100,10",10^0
12.3,17864.58205323876,13142.376352610536,leo,1,"10,100,100,10",10^0
12.4,17916.550846924067,13188.084718117152,leo,1,"10,100,100,10",10^0
12.500000000000002,17981.02425602944,13239.505822795865,leo,1,"10,100,100,10",10^0
12.6,18048.787891435186,13277.510984370143,leo,1,"10,100,100,10",10^0
12.7,18111.820667814638,13303.079465242527,leo,1,"10,100,100,10",10^0
12.8,18162.89457234226,13344.654520439733,leo,1,"10,100,100,10",10^0
12.9,18222.752152787616,13378.508519831546,leo,1,"10,100,100,10",10^0
13.000000000000002,18299.901896197818,13417.361129787396,leo,1,"10,100,100,10",10^0
13.1,18347.929419357,13452.642988024681,leo,1,"10,100,100,10",10^0
13.2,18403.941667483283,13496.929240803884,leo,1,"10,100,100,10",10^0
13.3,18473.588546855488,13535.925603909829,leo,1,"10,100,100,10",10^0
13.4,18532.53991423996,13587.208850468653,leo,1,"10,100,100,10",10^0
13.500000000000002,18587.126338592043,13630.202051023309,leo,1,"10,100,100,10",10^0
13.6,18632.318948801523,13680.911978182394,leo,1,"10,100,100,10",10^0
13.7,18693.62549346554,13727.620978138295,leo,1,"10,100,100,10",10^0
13.8,18743.23992984985,13771.327424422505,leo,1,"10,100,100,10",10^0
13.9,18808.877383820065,13812.038634946099,leo,1,"10,100,100,10",10^0
14.000000000000002,18851.72946977309,13854.034748106935,leo,1,"10,100,100,10",10^0
14.1,18910.57431523332,13894.173449188238,leo,1,"10,100,100,10",10^0
14.2,18974.754687823177,13947.886138702585,leo,1,"10,100,100,10",10^0
14.3,19013.02920841723,13992.874407679621,leo,1,"10,100,100,10",10^0
14.4,19057.18389289839,14041.453019281304,leo,1,"10,100,100,10",10^0
14.500000000000002,19095.513125278663,14090.592576916024,leo,1,"10,100,100,10",10^0
14.6,19151.61322629551,14132.874064866735,leo,1,"10,100,100,10",10^0
14.7,19186.55412066007,14172.726507353193,leo,1,"10,100,100,10",10^0
14.8,19234.25603106363,14212.722876008054,leo,1,"10,100,100,10",10^0
14.9,19261.79535410769,14249.43407240469,leo,1,"10,100,100,10",10^0
15.000000000000002,19295.23334706073,14290.57667647064,leo,1,"10,100,100,10",10^0
15.1,19326.46323548544,14327.71486611349,leo,1,"10,100,100,10",10^0
15.2,19355.398877125706,14358.568440632915,leo,1,"10,100,100,10",10^0
15.3,19385.370121210322,14398.42359185055,leo,1,"10,100,100,10",10^0
15.4,19420.748909861173,14431.418019554972,leo,1,"10,100,100,10",10^0
