second,quic,tcp,orbit,pep,iw,loss
6.0,7590.677595755474,4425.3823345511055,geo,0,"10,10,10,10",10^-01
7.0,6079.477219376784,5657.562427116391,geo,0,"10,10,10,10",10^-01
8.0,5546.16017367634,3855.074259373228,geo,0,"10,10,10,10",10^-01
9.0,5017.610156084434,3054.3872028069795,geo,0,"10,10,10,10",10^-01
10.0,4135.2919758724,2523.539669807359,geo,0,"10,10,10,10",10^-01
11.0,3715.408598463367,2302.355730576629,geo,0,"10,10,10,10",10^-01
12.0,3109.2560915901563,1922.4781793242703,geo,0,"10,10,10,10",10^-01
13.0,2674.71648552035,1608.3324907549274,geo,0,"10,10,10,10",10^-01
14.0,2532.4076760909497,1279.7845378173206,geo,0,"10,10,10,10",10^-01
15.0,2032.5746033247422,1206.0105993726124,geo,0,"10,10,10,10",10^-01
16.0,2011.185007814575,1085.666374698179,geo,0,"10,10,10,10",10^-01
17.0,1766.620930464552,1022.3019304187214,geo,0,"10,10,10,10",10^-01
18.0,1642.5047619376064,958.4778245491511,geo,0,"10,10,10,10",10^-01
19.0,1586.7122811742836,901.674780666267,geo,0,"10,10,10,10",10^-01
20.0,1478.3954507311626,840.056002915435,geo,0,"10,10,10,10",10^-01
21.0,1459.7527845743728,827.2829325608519,geo,0,"10,10,10,10",10^-01
22.0,1375.8818849446827,774.23739046968,geo,0,"10,10,10,10",10^-01
23.0,1292.0961698006656,750.0292342476812,geo,0,"10,10,10,10",10^-01
24.0,1248.1697382602938,723.3797563238948,geo,0,"10,10,10,10",10^-01
25.0,1170.8061843625073,725.553005871942,geo,0,"10,10,10,10",10^-01
26.0,1154.7244721263132,728.4133533983421,geo,0,"10,10,10,10",10^-01
27.0,1143.2296845276935,735.1532212716286,geo,0,"10,10,10,10",10^-01
28.0,1071.151503528422,696.4280873633088,geo,0,"10,10,10,10",10^-01
29.0,1097.110440469948,705.3516274690346,geo,0,"10,10,10,10",10^-01
30.0,1026.1547262061226,654.0833277174557,geo,0,"10,10,10,10",10^-01
1.0,8764.19210797733,6146.705809120564,leo,1,"10,100,100,10",0
2.0,16613.64280245363,13498.18871001846,leo,1,"10,100,100,10",0
3.0,16313.121252556133,18037.74603221694,leo,1,"10,100,100,10",0
4.0,16699.66503285818,18046.010709400984,leo,1,"10,100,100,10",0
5.0,17120.005199103616,18030.21762162707,leo,1,"10,100,100,10",0
6.0,17087.008818793263,17981.120642631176,leo,1,"10,100,100,10",0
7.0,16789.73277530722,17938.05175825215,leo,1,"10,100,100,10",0
8.0,17020.228608909427,18018.813538991664,leo,1,"10,100,100,10",0
9.0,17258.10712543438,18043.481952489416,leo,1,"10,100,100,10",0
10.0,17324.318932568774,18030.96514466126,leo,1,"10,100,100,10",0
11.0,17440.60368339481,18030.119041564314,leo,1,"10,100,100,10",0
12.0,18143.370541621534,18009.41909306547,leo,1,"10,100,100,10",0
13.0,17498.60045018052,17941.22913115447,leo,1,"10,100,100,10",0
14.0,17435.524014537415,17990.387607877423,leo,1,"10,100,100,10",0
15.0,17333.90881138329,18033.528305361076,leo,1,"10,100,100,10",0
16.0,17224.752413781393,18038.73645837411,leo,1,"10,100,100,10",0
17.0,17213.647702839786,18034.54650665582,leo,1,"10,100,100,10",0
18.0,18329.020984098865,18009.521444592032,leo,1,"10,100,100,10",0
19.0,17761.955460141842,17986.641100970046,leo,1,"10,100,100,10",0
20.0,17578.74501268315,17965.9326044075,leo,1,"10,100,100,10",0
21.0,17525.946287193667,18020.626499770682,leo,1,"10,100,100,10",0
22.0,17208.20322925756,18040.168854119765,leo,1,"10,100,100,10",0
23.0,17919.993526344475,18029.07483715961,leo,1,"10,100,100,10",0
24.0,18287.39622102821,18014.606262244128,leo,1,"10,100,100,10",0
25.0,17234.75989002614,18009.447163930512,leo,1,"10,100,100,10",0
26.0,17138.215766469795,17967.701451772373,leo,1,"10,100,100,10",0
27.0,17185.078834937704,18002.620385339305,leo,1,"10,100,100,10",0
28.0,17323.681079592137,18027.752919005405,leo,1,"10,100,100,10",0
29.0,17289.215862061432,18033.68608515368,leo,1,"10,100,100,10",0
30.0,17291.525380359133,18021.843382993593,leo,1,"10,100,100,10",0
1.0,2381.6539362648246,1787.4222616434263,leo,0,"10,10,10,10",10^0
2.0,1681.092182496528,1740.5612643588893,leo,0,"10,10,10,10",10^0
